,precision,recall,f1-score,support
Bacterial Spot,0.9714285714285714,0.7906976744186046,0.8717948717948718,43.0
Cercospora Leaf Spot,1.0,0.975609756097561,0.9876543209876543,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,0.9583333333333334,0.9787234042553191,48.0
Healthy,0.7559055118110236,1.0,0.8609865470852018,96.0
Late Blight,1.0,0.9787234042553191,0.989247311827957,47.0
Northern Leaf Blight,1.0,0.9375,0.967741935483871,48.0
Septoria Leaf Spot,1.0,0.8636363636363636,0.926829268292683,44.0
Yellow Leaf Curl Virus,1.0,0.7959183673469388,0.8863636363636364,49.0
accuracy,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207
macro avg,0.9697037870266217,0.9222687665653466,0.9410379217879105,464.0
weighted avg,0.946849908847601,0.9310344827586207,0.9327003903403968,464.0
