Report for swin_transformer (hierarchical) on plantvillage:

                        precision    recall  f1-score     support
Bacterial Spot           0.971429  0.790698  0.871795   43.000000
Cercospora Leaf Spot     1.000000  0.975610  0.987654   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  0.958333  0.978723   48.000000
Healthy                  0.755906  1.000000  0.860987   96.000000
Late Blight              1.000000  0.978723  0.989247   47.000000
Northern Leaf Blight     1.000000  0.937500  0.967742   48.000000
Septoria Leaf Spot       1.000000  0.863636  0.926829   44.000000
Yellow Leaf Curl Virus   1.000000  0.795918  0.886364   49.000000
accuracy                 0.931034  0.931034  0.931034    0.931034
macro avg                0.969704  0.922269  0.941038  464.000000
weighted avg             0.946850  0.931034  0.932700  464.000000
