,precision,recall,f1-score,support
Bacterial Spot,0.6666666666666666,0.64,0.6530612244897959,50.0
Cercospora Leaf Spot,0.5217391304347826,0.75,0.6153846153846154,48.0
Common Rust,0.6071428571428571,0.3541666666666667,0.4473684210526316,48.0
Early Blight,0.6031746031746031,0.7755102040816326,0.6785714285714286,49.0
Healthy,0.48148148148148145,0.5416666666666666,0.5098039215686274,48.0
Late Blight,0.5789473684210527,0.673469387755102,0.6226415094339622,49.0
Northern Leaf Blight,0.5769230769230769,0.3191489361702128,0.410958904109589,47.0
Septoria Leaf Spot,0.5303030303030303,0.6862745098039216,0.5982905982905983,51.0
Yellow Leaf Curl Virus,0.7096774193548387,0.4230769230769231,0.5301204819277109,52.0
accuracy,0.5746606334841629,0.5746606334841629,0.5746606334841629,0.5746606334841629
macro avg,0.5862284037669322,0.5737014771356806,0.5629112338698845,442.0
weighted avg,0.5873728991485272,0.5746606334841629,0.5640031294960364,442.0
