                        precision    recall  f1-score     support
Bacterial Spot           0.666667  0.640000  0.653061   50.000000
Cercospora Leaf Spot     0.521739  0.750000  0.615385   48.000000
Common Rust              0.607143  0.354167  0.447368   48.000000
Early Blight             0.603175  0.775510  0.678571   49.000000
Healthy                  0.481481  0.541667  0.509804   48.000000
Late Blight              0.578947  0.673469  0.622642   49.000000
Northern Leaf Blight     0.576923  0.319149  0.410959   47.000000
Septoria Leaf Spot       0.530303  0.686275  0.598291   51.000000
Yellow Leaf Curl Virus   0.709677  0.423077  0.530120   52.000000
accuracy                 0.574661  0.574661  0.574661    0.574661
macro avg                0.586228  0.573701  0.562911  442.000000
weighted avg             0.587373  0.574661  0.564003  442.000000
