                        precision    recall  f1-score     support
Bacterial Spot           0.934783  1.000000  0.966292   43.000000
Cercospora Leaf Spot     1.000000  0.804878  0.891892   41.000000
Common Rust              0.940000  0.979167  0.959184   48.000000
Early Blight             0.938776  0.958333  0.948454   48.000000
Healthy                  1.000000  0.989583  0.994764   96.000000
Late Blight              1.000000  1.000000  1.000000   47.000000
Northern Leaf Blight     0.905660  1.000000  0.950495   48.000000
Septoria Leaf Spot       0.926829  0.863636  0.894118   44.000000
Yellow Leaf Curl Virus   0.980000  1.000000  0.989899   49.000000
accuracy                 0.961207  0.961207  0.961207    0.961207
macro avg                0.958450  0.955066  0.955011  464.000000
weighted avg             0.962606  0.961207  0.960457  464.000000
