,precision,recall,f1-score,support
Bacterial Spot,0.9347826086956522,1.0,0.9662921348314607,43.0
Cercospora Leaf Spot,1.0,0.8048780487804879,0.8918918918918919,41.0
Common Rust,0.94,0.9791666666666666,0.9591836734693877,48.0
Early Blight,0.9387755102040817,0.9583333333333334,0.9484536082474226,48.0
Healthy,1.0,0.9895833333333334,0.9947643979057592,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.9056603773584906,1.0,0.9504950495049505,48.0
Septoria Leaf Spot,0.926829268292683,0.8636363636363636,0.8941176470588236,44.0
Yellow Leaf Curl Virus,0.98,1.0,0.98989898989899,49.0
accuracy,0.9612068965517241,0.9612068965517241,0.9612068965517241,0.9612068965517241
macro avg,0.9584497516167675,0.955066416194465,0.9550108214231874,464.0
weighted avg,0.9626057383228331,0.9612068965517241,0.9604570914624064,464.0
