,precision,recall,f1-score,support
Bacterial Spot,0.9090909090909091,0.2,0.32786885245901637,50.0
Cercospora Leaf Spot,0.8421052631578947,0.6666666666666666,0.7441860465116279,48.0
Common Rust,0.8913043478260869,0.8541666666666666,0.8723404255319149,48.0
Early Blight,0.6774193548387096,0.8571428571428571,0.7567567567567568,49.0
Healthy,0.9666666666666667,0.6041666666666666,0.7435897435897436,48.0
Late Blight,0.9555555555555556,0.8775510204081632,0.9148936170212766,49.0
Northern Leaf Blight,0.5287356321839081,0.9787234042553191,0.6865671641791045,47.0
Septoria Leaf Spot,0.7307692307692307,0.7450980392156863,0.7378640776699029,51.0
Yellow Leaf Curl Virus,0.6901408450704225,0.9423076923076923,0.7967479674796748,52.0
accuracy,0.746606334841629,0.746606334841629,0.746606334841629,0.746606334841629
macro avg,0.7990875339065983,0.7473136681477466,0.7312016279110021,442.0
weighted avg,0.7988260335217918,0.746606334841629,0.7305893852375527,442.0
