,precision,recall,f1-score,support
Bacterial Spot,1.0,0.8372093023255814,0.9113924050632911,43.0
Cercospora Leaf Spot,0.972972972972973,0.8780487804878049,0.9230769230769231,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,0.8421052631578947,1.0,0.9142857142857143,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,0.9787234042553191,0.989247311827957,47.0
Northern Leaf Blight,0.9038461538461539,0.9791666666666666,0.94,48.0
Septoria Leaf Spot,1.0,0.9318181818181818,0.9647058823529412,44.0
Yellow Leaf Curl Virus,0.9607843137254902,1.0,0.98,49.0
accuracy,0.9633620689655172,0.9633620689655172,0.9633620689655172,0.9633620689655172
macro avg,0.9644120781891679,0.9561073706170615,0.9580786929563142,464.0
weighted avg,0.9671896363806793,0.9633620689655172,0.9633694483384332,464.0
