                        precision    recall  f1-score     support
Bacterial Spot           1.000000  0.837209  0.911392   43.000000
Cercospora Leaf Spot     0.972973  0.878049  0.923077   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             0.842105  1.000000  0.914286   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              1.000000  0.978723  0.989247   47.000000
Northern Leaf Blight     0.903846  0.979167  0.940000   48.000000
Septoria Leaf Spot       1.000000  0.931818  0.964706   44.000000
Yellow Leaf Curl Virus   0.960784  1.000000  0.980000   49.000000
accuracy                 0.963362  0.963362  0.963362    0.963362
macro avg                0.964412  0.956107  0.958079  464.000000
weighted avg             0.967190  0.963362  0.963369  464.000000
