,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.3103448275862069,0.75,0.43902439024390244,48.0
Common Rust,0.5,0.14583333333333334,0.22580645161290322,48.0
Early Blight,0.28865979381443296,0.5714285714285714,0.3835616438356164,49.0
Healthy,0.24742268041237114,0.5,0.3310344827586207,48.0
Late Blight,0.625,0.6122448979591837,0.6185567010309279,49.0
Northern Leaf Blight,0.2916666666666667,0.14893617021276595,0.19718309859154928,47.0
Septoria Leaf Spot,0.2558139534883721,0.21568627450980393,0.23404255319148937,51.0
Yellow Leaf Curl Virus,1.0,0.038461538461538464,0.07407407407407407,52.0
accuracy,0.32805429864253394,0.32805429864253394,0.32805429864253394,0.32805429864253394
macro avg,0.3909897691075611,0.3313989762116885,0.2781425994821204,442.0
weighted avg,0.39433713855674046,0.32805429864253394,0.27592977868421215,442.0
