Report for vision_transformer (hierarchical) on plantdoc:

                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.280374  0.625000  0.387097   48.000000
Common Rust              0.500000  0.145833  0.225806   48.000000
Early Blight             0.321429  0.551020  0.406015   49.000000
Healthy                  0.259542  0.708333  0.379888   48.000000
Late Blight              0.675000  0.551020  0.606742   49.000000
Northern Leaf Blight     0.272727  0.127660  0.173913   47.000000
Septoria Leaf Spot       0.268293  0.215686  0.239130   51.000000
Yellow Leaf Curl Virus   1.000000  0.038462  0.074074   52.000000
accuracy                 0.325792  0.325792  0.325792    0.325792
macro avg                0.397485  0.329224  0.276963  442.000000
weighted avg             0.401000  0.325792  0.274888  442.000000
