,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.2803738317757009,0.625,0.3870967741935484,48.0
Common Rust,0.5,0.14583333333333334,0.22580645161290322,48.0
Early Blight,0.32142857142857145,0.5510204081632653,0.40601503759398494,49.0
Healthy,0.2595419847328244,0.7083333333333334,0.37988826815642457,48.0
Late Blight,0.675,0.5510204081632653,0.6067415730337079,49.0
Northern Leaf Blight,0.2727272727272727,0.1276595744680851,0.17391304347826086,47.0
Septoria Leaf Spot,0.2682926829268293,0.21568627450980393,0.2391304347826087,51.0
Yellow Leaf Curl Virus,1.0,0.038461538461538464,0.07407407407407407,52.0
accuracy,0.3257918552036199,0.3257918552036199,0.3257918552036199,0.3257918552036199
macro avg,0.3974849270656888,0.3292238744925139,0.2769628507695014,442.0
weighted avg,0.4010001534838446,0.3257918552036199,0.2748879699099958,442.0
