,precision,recall,f1-score,support
Bacterial Spot,0.6666666666666666,0.48,0.5581395348837209,50.0
Cercospora Leaf Spot,0.4470588235294118,0.7916666666666666,0.5714285714285714,48.0
Common Rust,0.5588235294117647,0.3958333333333333,0.4634146341463415,48.0
Early Blight,0.5818181818181818,0.6530612244897959,0.6153846153846154,49.0
Healthy,0.39473684210526316,0.625,0.4838709677419355,48.0
Late Blight,0.6274509803921569,0.6530612244897959,0.64,49.0
Northern Leaf Blight,0.47619047619047616,0.2127659574468085,0.29411764705882354,47.0
Septoria Leaf Spot,0.5818181818181818,0.6274509803921569,0.6037735849056604,51.0
Yellow Leaf Curl Virus,0.6896551724137931,0.38461538461538464,0.49382716049382713,52.0
accuracy,0.5361990950226244,0.5361990950226244,0.5361990950226244,0.5361990950226244
macro avg,0.5582465393717663,0.5359394190482158,0.5248840795603884,442.0
weighted avg,0.560481882948113,0.5361990950226244,0.5262762393775414,442.0
