,precision,recall,f1-score,support
Bacterial Spot,0.86,1.0,0.9247311827956989,43.0
Cercospora Leaf Spot,0.9615384615384616,0.6097560975609756,0.746268656716418,41.0
Common Rust,0.8846153846153846,0.9583333333333334,0.92,48.0
Early Blight,0.9019607843137255,0.9583333333333334,0.9292929292929293,48.0
Healthy,1.0,0.90625,0.9508196721311475,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.8245614035087719,0.9791666666666666,0.8952380952380953,48.0
Septoria Leaf Spot,0.925,0.8409090909090909,0.8809523809523809,44.0
Yellow Leaf Curl Virus,0.9074074074074074,1.0,0.9514563106796117,49.0
accuracy,0.9202586206896551,0.9202586206896551,0.9202586206896551,0.9202586206896551
macro avg,0.9183426045981946,0.9169720579781556,0.9109732475340313,464.0
weighted avg,0.9265100072479702,0.9202586206896551,0.9175859859329165,464.0
