                        precision    recall  f1-score     support
Bacterial Spot           0.860000  1.000000  0.924731   43.000000
Cercospora Leaf Spot     0.961538  0.609756  0.746269   41.000000
Common Rust              0.884615  0.958333  0.920000   48.000000
Early Blight             0.901961  0.958333  0.929293   48.000000
Healthy                  1.000000  0.906250  0.950820   96.000000
Late Blight              1.000000  1.000000  1.000000   47.000000
Northern Leaf Blight     0.824561  0.979167  0.895238   48.000000
Septoria Leaf Spot       0.925000  0.840909  0.880952   44.000000
Yellow Leaf Curl Virus   0.907407  1.000000  0.951456   49.000000
accuracy                 0.920259  0.920259  0.920259    0.920259
macro avg                0.918343  0.916972  0.910973  464.000000
weighted avg             0.926510  0.920259  0.917586  464.000000
